Mohamed Salah
Alexander Isak
Erling Haaland
Chris Wood
Bryan Mbeumo
Yoane Wissa
Ollie Watkins
Matheus Cunha
Cole Palmer
JeanPhilippe Mateta
Luis Diaz
Jorgen Strand Larsen
Justin Kluivert
Liam Delap
Amad Diallo
Dango Ouattara
Omar Marmoush
Kevin Schade
Noni Madueke
Josko Gvardiol
Riccardo Calafiori
Leny Yoro
Pedro Neto
Amadou Onana
Joao Felix
Manuel Ugarte
Max Kilman
Georginio Rutter
Matthijs de Ligt
Dominic Solanke
Antonin Kinsky
Vitor Reis
Nicolas Gonzalez
Abduqodir Husanov
Patrick Dorgu
Stefanos Tzimas
Donyell Malen
Jaden Philogene
Emmanuel Agbadou
Matz Sels
David Raya
Dean Henderson
Jordan Pickford
Alisson Becker
Andre Onana
Ederson Moraes
Nick Pope
Robert Sanchez
Kepa Arrizabalaga
